retailer,retailer_id,invoice_date,region,state,city,product,price_per_unit,units_sold,total_sales,operating_profit,operating_margin,sales_method
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,50,In-store
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,50,1000,500000,150000,30,In-store
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,40,1000,400000,140000,35,In-store
Foot Locker,1185732,2020-01-04,Northeast,New York,New York,Women's Athletic Footwear,45,850,382500,133875,35,In-store
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,30,In-store
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,25,In-store
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,50,1250,625000,312500,50,In-store
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,30,Outlet
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,35,Outlet
Foot Locker,1185732,2020-01-22,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,35,Outlet
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,30,Outlet
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,50,1000,500000,125000,25,Outlet
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,50,1220,610000,305000,50,Outlet
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,50,925,462500,138750,30,Outlet
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,40,950,380000,133000,35,Outlet
Foot Locker,1185732,2020-01-28,Northeast,New York,New York,Women's Athletic Footwear,45,800,360000,126000,35,Outlet
Foot Locker,1185732,2020-01-29,Northeast,New York,New York,Men's Apparel,60,850,510000,153000,30,Outlet
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,25,Outlet
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,50,1200,600000,300000,50,Outlet
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,50,900,450000,135000,30,Outlet
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,40,900,360000,126000,35,Outlet
Foot Locker,1185732,2020-02-03,Northeast,New York,New York,Women's Athletic Footwear,45,825,371250,129938,35,Outlet
Foot Locker,1185732,2020-02-04,Northeast,New York,New York,Men's Apparel,60,825,495000,148500,30,Outlet
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,50,950,475000,118750,25,Outlet
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,60,1220,732000,366000,50,Outlet
Foot Locker,1185732,2020-02-07,Northeast,New York,New York,Men's Athletic Footwear,55,925,508750,152625,30,Outlet
Foot Locker,1185732,2020-02-08,Northeast,New York,New York,Women's Street Footwear,50,900,450000,157500,35,Outlet
Foot Locker,1185732,2020-02-09,Northeast,New York,New York,Women's Athletic Footwear,50,850,425000,148750,35,Outlet
Foot Locker,1185732,2020-02-10,Northeast,New York,New York,Men's Apparel,60,875,525000,157500,30,Outlet
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,25,Outlet
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,50,Outlet
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet
Foot Locker,1185732,2020-03-06,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,35,Outlet
Foot Locker,1185732,2020-03-07,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,35,Outlet
Foot Locker,1185732,2020-03-08,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,30,Outlet
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,65,1050,682500,170625,25,Outlet
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,60,1275,765000,382500,50,Outlet
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,30,Outlet
Foot Locker,1185732,2020-03-12,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,35,Outlet
Foot Locker,1185732,2020-03-13,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,35,Outlet
Foot Locker,1185732,2020-03-14,Northeast,New York,New York,Men's Apparel,60,925,555000,166500,30,Outlet
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,65,1100,715000,178750,25,Outlet
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,60,1250,750000,375000,50,Outlet
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,55,1025,563750,169125,30,Outlet
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,50,950,475000,166250,35,Outlet
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,50,925,462500,161875,35,Outlet
Walmart,1185732,2020-04-17,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,30,Outlet
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,65,1075,698750,174688,25,Outlet
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,60,1200,720000,360000,50,Outlet
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,50,925,462500,161875,35,Outlet
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,50,900,450000,157500,35,Outlet
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,60,900,540000,162000,30,Outlet
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,65,1000,650000,162500,25,Outlet
Walmart,1185732,2020-04-25,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,30,Outlet
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,25,Outlet
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,65,1150,747500,373750,50,Outlet
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,55,975,536250,160875,30,Outlet
Walmart,1185732,2020-04-29,Northeast,New York,New York,Women's Street Footwear,55,920,506000,177100,35,Outlet
Walmart,1185732,2020-04-30,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,35,Outlet
Walmart,1185732,2020-05-01,Northeast,New York,New York,Men's Apparel,65,875,568750,170625,30,Outlet
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,70,975,682500,170625,25,Outlet
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,65,1200,780000,390000,50,Outlet
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,55,1000,550000,165000,30,Outlet
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,55,950,522500,182875,35,Outlet
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,55,900,495000,173250,35,Outlet
Walmart,1185732,2020-05-07,Northeast,New York,New York,Men's Apparel,65,900,585000,175500,30,Outlet
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,70,1000,700000,175000,25,Outlet
Sports Direct,1197831,2020-07-19,Northeast,New York,New York,Men's Street Footwear,25,900,225000,78750,35,Outlet
Sports Direct,1197831,2020-07-20,Northeast,New York,New York,Men's Athletic Footwear,35,900,315000,110250,35,Outlet
Sports Direct,1197831,2020-07-21,Northeast,New York,New York,Women's Street Footwear,35,700,245000,85750,35,Outlet
Sports Direct,1197831,2020-07-22,Northeast,New York,New York,Women's Athletic Footwear,35,700,245000,110250,45,Outlet
Sports Direct,1197831,2020-07-23,South,Texas,Houston,Men's Apparel,40,550,220000,66000,30,Outlet
Sports Direct,1197831,2020-07-24,South,Texas,Houston,Women's Apparel,35,700,245000,122500,50,Outlet
